2025-07-24T13:00:28.339149[I][tasks][Discover Miners]started
2025-07-24T13:00:49.528696[T][exceptions]Miner not found
2025-07-24T13:00:49.528711[T][192.168.0.221][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528716[T][exceptions]Miner not found
2025-07-24T13:00:49.528729[T][192.168.0.130][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528734[T][exceptions]Miner not found
2025-07-24T13:00:49.533591[T][192.168.0.71][minerDiscoverer]no miner detected
2025-07-24T13:00:49.533606[T][exceptions]Miner not found
2025-07-24T13:00:49.533975[T][192.168.0.28][minerDiscoverer]no miner detected
2025-07-24T13:00:49.533995[T][exceptions]Miner not found
2025-07-24T13:00:49.534067[T][192.168.0.200][minerDiscoverer]no miner detected
2025-07-24T13:00:49.534078[T][exceptions]Miner not found
2025-07-24T13:00:49.534222[T][192.168.0.51][minerDiscoverer]no miner detected
2025-07-24T13:00:49.534282[T][exceptions]Miner not found
2025-07-24T13:00:49.534372[T][192.168.0.100][minerDiscoverer]no miner detected
2025-07-24T13:00:49.534394[T][exceptions]Miner not found
2025-07-24T13:00:49.534816[T][192.168.0.220][minerDiscoverer]no miner detected
2025-07-24T13:00:49.534828[T][exceptions]Miner not found
2025-07-24T13:00:49.535343[T][192.168.0.108][minerDiscoverer]no miner detected
2025-07-24T13:00:49.535354[T][exceptions]Miner not found
2025-07-24T13:00:49.535377[T][192.168.0.85][minerDiscoverer]no miner detected
2025-07-24T13:00:49.535381[T][exceptions]Miner not found
2025-07-24T13:00:49.535403[T][192.168.0.18][minerDiscoverer]no miner detected
2025-07-24T13:00:49.535408[T][exceptions]Miner not found
2025-07-24T13:00:49.535522[T][192.168.0.162][minerDiscoverer]no miner detected
2025-07-24T13:00:49.535532[T][exceptions]Miner not found
2025-07-24T13:00:49.535632[T][192.168.0.35][minerDiscoverer]no miner detected
2025-07-24T13:00:49.535640[T][exceptions]Miner not found
2025-07-24T13:00:49.536038[T][192.168.0.25][minerDiscoverer]no miner detected
2025-07-24T13:00:49.536052[T][exceptions]Miner not found
2025-07-24T13:00:49.536502[T][192.168.0.171][minerDiscoverer]no miner detected
2025-07-24T13:00:49.536516[T][exceptions]Miner not found
2025-07-24T13:00:49.537653[T][192.168.0.14][minerDiscoverer]no miner detected
2025-07-24T13:00:49.537679[T][exceptions]Miner not found
2025-07-24T13:00:49.537740[T][192.168.0.111][minerDiscoverer]no miner detected
2025-07-24T13:00:49.537756[T][exceptions]Miner not found
2025-07-24T13:00:49.537918[T][192.168.0.10][minerDiscoverer]no miner detected
2025-07-24T13:00:49.537947[T][exceptions]Miner not found
2025-07-24T13:00:49.538007[T][192.168.0.193][minerDiscoverer]no miner detected
2025-07-24T13:00:49.538022[T][exceptions]Miner not found
2025-07-24T13:00:49.538068[T][192.168.0.182][minerDiscoverer]no miner detected
2025-07-24T13:00:49.538083[T][exceptions]Miner not found
2025-07-24T13:00:49.538117[T][192.168.0.88][minerDiscoverer]no miner detected
2025-07-24T13:00:49.538131[T][exceptions]Miner not found
2025-07-24T13:00:49.538317[T][192.168.0.64][minerDiscoverer]no miner detected
2025-07-24T13:00:49.538328[T][exceptions]Miner not found
2025-07-24T13:00:49.538354[T][192.168.0.56][minerDiscoverer]no miner detected
2025-07-24T13:00:49.538357[T][exceptions]Miner not found
2025-07-24T13:00:49.538372[T][192.168.0.96][minerDiscoverer]no miner detected
